year,month,day,tmax,tmin,rain,tmin.high,tmax.high,rain.high,Q
1979,1,27,-1.11111111111111,-11.6666666666667,0,-16.5190645827546,-6.34545255924827,0,0.26988
1979,1,28,-1.11111111111111,-11.6666666666667,7.366,-21.2610794695649,-8.42004266395826,7.62,0.26988
1979,1,29,-5.55555555555556,-15.5555555555556,0,-24.9493132704172,-7.38274761160326,0,0.26988
1979,1,30,-5.55555555555556,-15,0,-9.1425969810496,-6.34545255924827,10.16,0.26988
1979,1,31,-3.33333333333333,-7.77777777777778,37.338,-12.8308307819021,-4.78950998071579,0,0.260884
1979,2,1,-1.66666666666667,-6.66666666666667,37.084,-9.66948752402847,-4.78950998071579,7.62,0.251888
1979,2,2,-3.88888888888889,-10,41.91,-8.61570643807063,-7.90139513778076,0,0.251888
1979,2,3,-1.11111111111111,-12.2222222222222,1.016,-20.2072983836069,-3.2335674021833,0,0.251888
1979,2,4,3.33333333333333,-11.1111111111111,0,-13.3577213248809,-0.640329771295813,0,0.242892
1979,2,5,4.44444444444444,-7.22222222222222,0,-13.8846118678599,3.50885043812415,0,0.242892
1979,2,6,6.66666666666667,-5.55555555555556,0,-8.08881589509176,3.50885043812415,0,0.242892
1979,2,7,10,-1.66666666666667,0,-8.61570643807063,5.58344054283414,0,0.242892
1979,2,8,10.5555555555556,0,0,-9.1425969810496,6.10208806901164,0,0.242892
1979,2,9,13.3333333333333,-1.66666666666667,0,-7.5619253521128,4.02749796430165,0,0.251888
1979,2,10,12.7777777777778,-0.555555555555556,0,-7.03503480913392,5.58344054283414,0,0.251888
1979,2,11,15.5555555555556,0.555555555555556,0,-5.98125372317603,6.10208806901164,0,0.242892
1979,2,12,13.3333333333333,1.11111111111111,0,-3.34680100828141,6.10208806901164,2.54,0.242892
1979,2,13,12.7777777777778,1.66666666666667,0,1.3952138785289,2.99020291194666,53.34,0.350844
1979,2,14,4.44444444444444,-5,53.848,-2.7149198760058,-1.23923883636571,10.16,0.593736
1979,2,15,0.555555555555556,-8.33333333333333,0,-4.40058209423926,-2.7149198760058,10.16,0.368836
1979,2,16,4.44444444444444,-6.66666666666667,0,-3.2335674021833,-0.712348293386794,2.54,0.332852
1979,2,17,2.22222222222222,-7.22222222222222,4.064,-11.7770496959442,0.396965281059179,0,0.305864
1979,2,18,8.88888888888889,-3.33333333333333,0,-5.98125372317603,-2.7149198760058,7.62,0.296868
1979,2,19,5,-0.555555555555556,19.05,-2.81991046530249,0.396965281059179,7.62,0.296868
1979,2,20,3.88888888888889,-6.66666666666667,0,-5.98125372317603,-1.6776248236508,10.16,0.287872
1979,2,21,1.11111111111111,-5.55555555555556,48.768,-2.7149198760058,-2.29301992232357,17.78,0.296868
